Job Name,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Description,Bid Destination
BBU3,,,14:55,14:55,14:55,14:55,14:55,Mon: BETPA>180QV>BURMD>EZRPA>BETPA Tue-Thu: BETPA>180QV>BURMD>BETPA Fri: BETPA>180QV>BURMD>BETPA,EZRPA
BUH1,,,15:00,15:00,15:00,15:00,15:00,Mon-Fri: BETPA>ULNPA>HARCT>BETPA,HARCT
AMO1,,,15:30,15:30,15:30,15:30,15:30,Mon: BETPA>FLPPA>BETPA>BAYNJ>M43NY>BETPA Tue: BETPA>FLPPA>BETPA Wed-Thu: BETPA>FLPPA>BETPA>MELNY>BETPA Fri: BETPA>FLPPA>BETPA>BAYNJ>BETPA,MELNY
BUI1,,,15:30,15:30,15:30,15:30,15:30,Mon-Thu: BETPA>CTXPA>BETPA>Shift>ULNPA>BAYNJ>BETPA Fri: BETPA>CTXPA>BETPA>Shift>ULNPA>MEANJ>BETPA,MEANJ
BUB1,,,15:45,15:45,15:45,15:45,15:45,"Mon: BETPA>ULNPA>BURMD>GAIMD>EZRPA>BETPA Tue, Thu: BETPA>ULNPA>BURMD>EZRPA>BETPA Wed: BETPA>ULNPA>BURMD>BURMD>EZRPA>ALLPA>BETPA Fri: BETPA>ULNPA>BURMD>ULNPA>BETPA",GAIMD
BNA1,,,16:00,16:00,16:00,16:00,16:00,Mon: BETPA>MKSPA>BETPA>ULNPA>BAYNJ>PARNJ>BETPA Tue-Fri: BETPA>MKSPA>BETPA>ULNPA>BAYNJ>BETPA,BAYNJ
BSH2,,,16:15,16:15,16:15,16:15,16:15,Mon: BETPA>GOAPA>BETPA>Shift>ALLPA>CRLPA>ALLPA>BETPA Tue-Thu: BETPA>GOAPA>BETPA>Shift>EZRPA>CRLPA>BETPA Fri: BETPA>GOAPA>BETPA>Shift>EZRPA>BETPA,CRLPA
BUH2,,,16:35,16:35,16:35,16:35,16:35,Mon-Fri: BETPA>ULNPA>HARCT>BETPA,HARCT
BUB2,,,17:40,17:40,17:40,17:40,17:40,Mon: BETPA>ULNPA>BURMD>EZRPA>CRLPA>BETPA Tue: BETPA>ULNPA>BURMD>BETPA Wed: BETPA>ULNPA>BURMD>WILPA>BETPA Thu: BETPA>ULNPA>BURMD>CRLPA>BETPA Fri: BETPA>ULNPA>BURMD>BALMD>BETPA,BURMD
BEWR,,,18:00,18:00,18:00,18:00,,Mon: BETPA>EWR55>BETPA>EZRPA>CRLPA>BETPA Tue: BETPA>EWR55>BETPA>HBGRR>EZRPA>BETPA Wed-Thu: BETPA>EWR55>BETPA>EZRPA>BETPA,CRLPA
BUH3,,,18:00,18:00,18:00,18:00,21:15,Mon: BETPA>ALLPA>ULNPA>HARCT>BETPA Tue-Thu: BETPA>ULNPA>HARCT>BETPA Fri: BETPA>Shift>HBGRR>BETPA,HARCT
BUB3,,,18:25,18:25,18:25,,,"Mon: BETPA>ULNPA>BURMD>EZRPA>BETPA Tue, Thu: BETPA>ULNPA>BURMD>ULNPA>BETPA Wed: BETPA>ULNPA>BURMD>WILPA>BETPA",BURMD
BUH4,,,18:25,18:25,18:25,,18:25,"Mon, Wed, Fri, Tue: BETPA>ULNPA>HARCT>BETPA",HARCT
BE06,,,18:30,18:30,,18:30,18:30,"Mon, Thu: BETPA>Shift>SYRNY>BETPA Tue: BETPA>SMOPA>BETPA>SYRNY>BETPA Fri: BETPA>ULNPA>HARCT>BETPA",HARCT
BMEL,,,18:30,18:30,,18:30,18:30,Mon: BETPA>BURMD>GAIMD>EZRPA>ALLPA>BETPA Tue: BETPA>BURMD>WILPA>BETPA Thu: BETPA>BURMD>Shift>EZRPA>ALLPA>BETPA Fri: BETPA>OREPA>WILPA>ALLPA>BETPA,GAIMD
BUN1,,,18:30,18:30,18:30,,18:30,"Mon, Wed: BETPA>ULNPA>NEWPA>BETPA Tue, Fri: BETPA>ULNPA>NEWPA>ALLPA>BETPA",NEWPA
BNA4,,,19:00,19:00,19:00,19:00,19:00,Mon-Fri: BETPA>NASNY>EZRPA>BETPA,NASNY
B432,,,19:30,20:45,20:45,20:45,20:45,Mon: BETPA>BAYNJ>M43NY>BETPA>EZRPA>BETPA Tue: BETPA>M43NY>BETPA>EZRPA>BETPA Wed: BETPA>BAYNJ>BETPA>EZRPA>BETPA Thu: BETPA>M43NY>BETPA>RUTPA>EZRPA>BETPA Fri: BETPA>ALLPA>BETPA>EZRPA>MDTAS>ALLPA>BETPA,MDTAS
LV12,,,19:30,20:30,20:30,20:30,20:30,Mon: BETPA>EZRPA>BETPA>EZRPA>BETPA Tue: BETPA>BURMD>EZRPA>BETPA Wed: BETPA>BURMD>ABEMD>BETPA Thu: BETPA>BURMD>WILPA>BETPA Fri: BETPA>EZRPA>CRLPA>BETPA>RUTPA>BETPA,BURMD
BE99,,,19:55,19:55,19:55,19:55,19:55,Mon: BETPA>EWR55>BETPA>HBGRR>EZRPA>BETPA Tue-Wed: BETPA>EWR55>BETPA>WBAPA>BETPA Thu: BETPA>EWR55>BETPA>Shift Fri: BETPA>EWR55>ALLPA>EZRPA>BETPA,EZRPA
BEZ1,,,20:00,20:00,20:00,20:00,21:00,Mon-Tue: BETPA>EZRPA>BETPA>EZRPA>BETPA Wed-Thu: BETPA>EZRPA>BETPA Fri: BETPA>PRORI>BETPA,PRORI
BE16,,,20:00,21:15,21:00,21:00,,Mon: BETPA>TOMVA>BETPA Tue-Wed: BETPA>WORMA>BETPA Thu: BETPA>ALBNY>BETPA,WORMA
B413,,,20:00,20:00,,18:25,18:20,Mon: BETPA>NWTVA>BETPA Tue: BETPA>PRORI>BETPA Thu: BETPA>ULNPA>HARCT>BETPA Fri: BETPA>EWR55>BETPA,PRORI
LV72,,,20:00,20:00,20:00,20:00,,"Mon, Wed: BETPA>ELMNY>BETPA>EZRPA>BETPA Tue: BETPA>ELMNY>BETPA>EZRPA>ALLPA>BETPA Thu: BETPA>HBGRR>BETPA>HBGRR>BETPA",ELMNY
BE11,,,20:30,20:30,20:30,20:30,20:30,Mon-Thu: BETPA>SYRNY>BETPA Fri: BETPA>ALBNY>BETPA,ALBNY
BBU1,,,21:00,20:00,20:00,20:00,20:00,Mon: BETPA>SYRNY>BETPA Tue: BETPA>OREPA>BETPA>EZRPA>BETPA Wed-Thu: BETPA>OREPA>BETPA>Shift Fri: BETPA>BURMD>EZRPA>BETPA,SYRNY
