id,created_at,name,numSlic,alphaSlic,street,city,state,zip,instructions
23,2023-11-15 05:22:30.687119+00,Amazon Abbot,18AAB,AABPA,4275 Fritch Dr,Bethlehem,PA,18020,
24,2023-11-15 05:22:30.687119+00,All Balls Racing,18AB,ABRPA,668 Gravel Pike,East Greenville,PA,18041,
25,2023-11-15 05:22:30.687119+00,All Brands,18ABA,ABAPA,1530 E Race St,Allentown,PA,18109,
26,2023-11-15 05:22:30.687119+00,Adidas,18AD,ADDPA,550 New Commerce Blvd,Wilkes-Barre,PA,18706,
27,2023-11-15 05:22:30.687119+00,Applegate,18AGT,AGTPA,7132 Ruppsville Rd,Allentown,PA,18106,
28,2023-11-15 05:22:30.687119+00,A & H Sportswear,18AHS,AHSPA,610 Uhler Rd,Easton,PA,18040,
29,2023-11-15 05:22:30.687119+00,Apple,18AL,APEPA,953 Willow Brook Rd,Northampton,PA,18067,
30,2023-11-15 05:22:30.687119+00,Amazon ABE3,18AM,AMOPA,705 Boulder Dr,Breiningsville,PA,18031,
31,2023-11-15 05:22:30.687119+00,Amazon ABE2,18AN,AMMPA,650 Boulder Dr,Beiningsville,PA,18031,
32,2023-11-15 05:22:30.687119+00,Anixter,18ANX,ANXPA,7542 Morris Ct,Allentown,PA,18106,
33,2023-11-15 05:22:30.687119+00,Air Product,18ARP,ARPPA,7201 Hamilton Blvd,Allentown,PA,18195,
34,2023-11-15 05:22:30.687119+00,Amertac,18AT,ACHPA,250 Boulder Dr,Breiningsville,PA,18031,
35,2023-11-15 05:22:30.687119+00,American Tire Distribution,18ATB,ATBPA,291 Commercial Blvd,Blakeslee,PA,18610,
36,2023-11-15 05:22:30.687119+00,Advance Auto Parts,18AV,ADVPA,9755 Commerce Circle,Kutztown,PA,19530,
37,2023-11-15 05:22:30.687119+00,Straight Arrow,18AW,ARWPA,900 Conroy Pl,Easton,PA,18040,
38,2023-11-15 05:22:30.687119+00,Amazon Tobyhanna,18AZT,AZTPA,2086 Corporate Center Dr,Tobyhanna,PA,18466,
39,2023-11-15 05:22:30.687119+00,Boll and Branch,18BAB,BABPA,30 Ludwig Ct,Shoemakersville,PA,19555,
40,2023-11-15 05:22:30.687119+00,Benco Dental,18BD,BENPA,295 Centerpoint Blvd,Pittston,PA,18640,
41,2023-11-15 05:22:30.687119+00,Bergen Logistics,18BGN,BGNPA,1055 Hanover St,Wilkes-Barre,PA,18706,
42,2023-11-15 05:22:30.687119+00,Bosch Rexroth Corp,18BH,BCHPA,2655 Brodhead Rd,Bethlehem,PA,18020,
